dia,raw,n_celdas,origen
2026-04-13,-0.0001156226062448,16,BACKTEST
2026-04-14,-0.0001135673883254,15,BACKTEST
2026-04-15,-0.0001132561301346,13,BACKTEST
2026-04-16,-0.0001144258858403,13,BACKTEST
2026-04-17,-0.0001142204200732,13,BACKTEST
2026-04-20,-0.0001148665396613,13,BACKTEST
2026-04-21,-0.000115237715363,13,BACKTEST
2026-04-22,-0.000115379327326,13,BACKTEST
2026-04-23,-0.0001153884804807,14,BACKTEST
2026-04-24,-0.0001155361605924,13,BACKTEST
2026-04-27,-0.0001161717518698,13,BACKTEST
2026-04-28,-0.0001165230132755,13,BACKTEST
2026-04-29,-0.000117518218758,12,BACKTEST
2026-04-30,-0.0001174786957562,12,BACKTEST
2026-05-01,-0.0001173974669654,12,BACKTEST
2026-05-04,-0.000117601128295,13,BACKTEST
2026-05-05,-0.0001148989686043,15,BACKTEST
2026-05-06,-0.000115370239655,16,BACKTEST
2026-05-07,-0.0001173402779386,15,BACKTEST
2026-05-08,-0.0001198774407384,14,BACKTEST
2026-05-11,-0.0001192907075164,11,BACKTEST
2026-05-12,-0.0001164313944173,12,BACKTEST
2026-05-13,-0.0001160737665486,12,BACKTEST
2026-05-14,-0.000121914614283,11,BACKTEST
2026-05-15,-0.0001186294612125,12,BACKTEST
2026-05-18,-0.0001175769502879,12,BACKTEST
2026-05-19,-0.0001163723136414,12,BACKTEST
2026-05-20,-0.0001165190478786,12,BACKTEST
2026-05-21,-0.0001189012109534,11,BACKTEST
2026-05-22,-0.0001196157609228,11,BACKTEST
2026-05-26,-0.0001225050218636,11,BACKTEST
2026-05-27,-0.0001256784162251,13,BACKTEST
2026-05-28,-0.0001236573880305,11,BACKTEST
2026-05-29,-0.0001249415654456,11,BACKTEST
2026-06-01,-0.0001248080225195,10,BACKTEST
2026-06-02,-0.000126397004351,10,BACKTEST
2026-06-03,-0.000127659732243,10,BACKTEST
2026-06-04,-0.0001264736783923,10,BACKTEST
2026-06-05,-0.0001250828499905,11,BACKTEST
2026-06-08,-0.0001276111288461,10,BACKTEST
2026-06-09,-0.0001260987628484,11,BACKTEST
2026-06-10,-0.000126724189613,11,BACKTEST
2026-06-11,-0.0001270085485884,11,BACKTEST
2026-06-12,-0.0001273313828278,11,BACKTEST
2026-06-15,-0.0001283715537283,9,BACKTEST
2026-06-16,-0.0001312750100623,10,BACKTEST
2026-06-17,-0.0001319424918619,10,BACKTEST
2026-06-18,-0.0001337943685939,10,BACKTEST
2026-06-22,-0.0001359869493171,10,BACKTEST
2026-06-23,-0.0001375771826133,10,BACKTEST
2026-06-24,-0.000134789122967,10,BACKTEST
2026-06-25,-0.0001347984652966,10,BACKTEST
2026-06-26,-0.0001319717557635,11,BACKTEST
2026-06-29,-0.0001329301157966,10,BACKTEST
2026-06-30,-0.0001216331074829,9,BACKTEST
2026-07-01,-0.0001306061894865,10,BACKTEST
2026-07-02,-0.0001320167502854,12,BACKTEST
2026-07-06,-0.0001323148899246,11,BACKTEST
2026-07-07,-0.0001317213027505,14,BACKTEST
2026-07-08,-0.0001307760976487,13,BACKTEST
2026-07-09,-0.0001323859323747,11,BACKTEST
2026-07-10,-0.0001320280134677,11,BACKTEST
2026-07-13,-0.0001322537718806,11,BACKTEST
2026-07-14,-0.0001327966019744,12,BACKTEST
2026-07-15,-0.0001318227587034,12,BACKTEST
2026-07-16,-0.0001315815461566,12,BACKTEST
2026-07-17,-0.0001321430172538,12,BACKTEST
2026-07-20,-0.0001319134607911,12,BACKTEST
2026-07-21,-0.0001322176976827,12,BACKTEST
2026-07-22,-0.0001326724159298,12,BACKTEST
2026-07-23,-0.000133572219056,12,BACKTEST
2026-07-24,-0.0001295954280067,9,BACKTEST
2026-07-27,-0.0001294078974751,9,BACKTEST
2026-07-28,-0.0001295943802688,9,BACKTEST
2026-07-29,-0.000129317631945,9,BACKTEST
2026-07-30,-0.0001280548021895,9,BACKTEST
2026-07-31,-0.0001280051947105,9,BACKTEST
2026-08-03,-0.000126686412841,9,BACKTEST
2026-08-04,-0.0001245403109351,11,BACKTEST
2026-08-05,-0.0001289986103074,10,BACKTEST
2026-08-06,-0.0001255521201528,11,BACKTEST
2026-08-07,-0.000124628204503,11,BACKTEST
2026-08-10,-0.0001241492282133,11,BACKTEST
2026-08-11,-0.0001234625378856,11,BACKTEST
2026-08-12,-0.0001231667265528,11,BACKTEST
2026-08-13,-0.0001243532460648,11,BACKTEST
2026-08-14,-0.0001241759455297,11,BACKTEST
2026-08-17,-0.0001243171427631,11,BACKTEST
2026-08-18,-0.0001237176475115,11,BACKTEST
2026-08-19,-0.0001236725220223,11,BACKTEST
2026-08-20,-0.0001229616318596,11,BACKTEST
2026-08-21,-0.0001247675099875778,13,BACKTEST
